name,rating,atnm,region_name,outdoor_swimming_pool,restaurant,excellent_breakfast,free_parking,free_wifi,fitness_center,breakfast,bar,very_good_breakfast,indoor_swimming_pool,spa,3_swimming_pools,2_swimming_pools,4_swimming_pools,room_service,beachfront,private_beach_area,wifi_in_all_areas
Fairfield Inn & Suites by Marriott Hobbs,8.9,Hotels,New Mexico,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Days Inn by Wyndham Grants,6.4,Hotels,New Mexico,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Copper King Lodge,8.4,Hotels,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Ramada by Wyndham Las Cruces Hotel & Conference Center,7.9,Hotels,New Mexico,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0
Ramada by Wyndham Santa Fe,6.9,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Best Western Deming Southwest Inn,7.7,Hotels,New Mexico,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
"Motel 6-Santa Rosa, NM",6.4,Hotels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Days Inn & Suites by Wyndham Airport Albuquerque,8,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
"Carlsbad Inn , New Mexico",7.6,Motels,New Mexico,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Drury Plaza Hotel in Santa Fe,9.1,Hotels,New Mexico,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0
"Motel 6-Alamogordo, NM",6,Hotels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadalupe Inn,8.6,Inns,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Fairfield Inn & Suites by Marriott Tucumcari,8.9,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
